content,score
sangat membantu bagi semua manusia,5
Fleerrrrr,5
Ok,5
"Sangat membantu, respon yang sangat cepat dan jelas.",5
hahahaa enak kok,5
"dari semua IA yang pernah ku pakai, chatGPT yang paling mantep",5
agak lelet dikit,4
ok,5
Sangat membantu sekali tapi terkadang dalam penghitungan kurang tepat overall aplikasi ini sangat berguna...,5
bagus,5
sukaaa,5
asik diajak ngobrol nih😁😁,5
cool,5
👍🥰,4
lama memperoses foto,1
sangat bgus,4
sangat membantu!,5
kerenn bgt apk nyaaa plisss,5
Yang bilang gada bahasa indonesia nya sdm nya rendah,5
mantap,5
suerrr bguss bgtt,5
aplikasi sangat bagus,5
sangat membantu,5
Mantap dan very recommended,5
Kok aku hapus data gak bisa login kembali?? 😭😭😭,3
sangat bagus saya suka dengan aplikasi ini sangat membantu,5
lumayan buat bahan lagi gabut,5
BAGUSS!!!! MEMUASKAN!!!,5
the best,5
Keren,5
"Hoalah ai ai, saya lagi bahas bahas materi tiba tiba ngirim gambar, alhasil malah disuruh premium/nunggu refresh selama 5 jam dulu, astaga ini ai 🗿, tapi gapapa sih, gambarnya bagus soalnya 😂",5
baguuus dan sangat membantu,4
"Bikin sajak, tulis perintah jadikan dongeng dengan tokoh sesuka hati saya, lalu putar audio saat mau tidur. Jadi kisah pengantar tidur. Njirrrr mau tidur didongengin A.I.",5
Very very membantu,5
mantab,5
cocok buat teman curhat 😍😍,5
bagus,5
bagus,5
Genius yg buat aplikasi ini,5
bagus,5
mantap,5
membantu,5
"awal aku kepo sama Deepseek apa sama dengan Gpt eh ternyata lebih bagus Gpt sii ,",5
ok,5
Good,5
sangat membantu,5
baik,4
This Apps is awesome. I made a lot of things for my copywriting job. Thanks a lot. Good job.,5
berguna sekali untuk sehari hari saya jika menghadapi kendala. Terima kasih chat jpt,5
apk terbaik di playstor,5
baikkkk,5
Lumayan membantu dalam ujian tapi masih ada yg salah sedikit,5
"chatGPT, terima kasih ... aplikasi ini sangat membantu, dan menambah wawasan serta dapat memberi jalan keluar, terhadap masalah yg kita hadapi",5
sangat membantu,5
"baguss bangettt, apalagii buatt aku yangg butuh suportt inii ngebantu bangettttt❤❤❤❤❤❤❤❤",5
bagus,5
sangat mudah dan gampang sekali,5
good..,5
"Sudah bagus, cuma suka lama banget ngetik nya",4
apk nya kaciwww pokoknaa,5
Sangat membantu sekali 👍,5
aplikasi sangat bagus untuk mendapatkan hasil yang lebih baik,5
"ChatGPT adalah aplikasi yang sangat berguna dalam memberikan informasi, menjawab pertanyaan, dan memberikan panduan yang tepat. Keberadaannya sangat membantu dalam memahami berbagai topik dan memberikan wawasan yang berharga. Terima kasih ChatGPT!",5
sangat membantu dalam penyelesaian tugas,5
"Aplikasinya sangat bagus,jawabannya sesuai yang di harapkan,mantap...",5
"Ini Sudah Bagus Sebenarnya, Cuma Ada Satu Kekurangan Disini. Kadang Terjadi Log Out, Padahal Pakai Wifi Ditambah Jaringannya Selalu Stabil. Lalu Saat Login Lagi Malah Gak Bisa, Padahal Pakai Wifi Seperti Kubilang Sebelumnya. Tolong Kepada Admin Perbaiki Bug Ini, Karena Ini Cukup Merepotkan. Kukasih Dulu 4 Bintang, Kalau Sudah Diperbaiki Akan Ku Rating 5 Bintang",4
bagus,5
Cpt respon,4
sngt membantu,5
Sangat membantu aplikasinya,5
bagus sangat membantu👍,5
"bagus sekali, sangat membantu bagi saya sebagai guru",5
bintang lima kalau bisa menyampaikan pesan tanpa batasan dan tak perlu langganan,4
"Untuk chatgpt perfect banget dan juga ok.hanya saja tolong tambahkan fitur untuk memfoto,Agar bisa lebih baik ok",4
Kadang betul.kdng salah,4
robotnya bisa ditanya apapun sama pintar lagi,5
membantu,5
"bagus,sangat membantu",4
chatgpt cocok untuk tempat curhat,5
usefull,5
kocak dan seru banget,5
aplikasi nya bagus bisa mengetahui banyak hal,5
bgus sekali,3
keren,5
kurang yakin,1
"Saya kasih bintang 4 dulu, karena masih mempunyai kekurangan yaitu, memperbaiki batas foto untuk mengirim pertanyaan ke AI,pengeditan bingkai foto untuk mempertanyakan soal,untuk yang lainnya bagus dan jawaban yang diberikan AI sangat tepat,dan untuk penjelasan soalnya harus jelas banget, karena ada kata² yang saya tidak di mengerti, massa saya harus tulis juga kata² yg saya tidak di mengerti, untuk lainnya sudah bagus dan kalian wajib download apk ini ☺",4
"Aplikasi AI yang cerdas, punya banyak data dan informasi. Serta bisa menjadi bestie dengan segala pertanyaan random.",5
bisa mengurangi kesepian saya,5
is the best👍👍👍,5
mantap,5
baik,5
apk ini seru bngt bisa di ajak ngobrol bisa untuk cerita pokok nya bagus deh,4
"Aplikasi nya keren banget, bisa bantu cari informasi, ngerjain tugas, diajak ngobrol. Pokoknya best banget sih apk nya",5
"Hampir sempurna, ada beberapa kekurangan seperti ketika saya menanyakan hari jawaban kurang tepat, atau jawaban kurang memuaskan",4
sangat membantu,5
terlalu keren untuk membantu semua tugas & sumbang gagasan,5
mantap,5
"sangat bermanfaat dan membantu. chat gpt ini juga bisa menenangkan emosi meledak-ledak yang sedang saya rasakan. ia dapat membantu dengan berbagai macam aspek, berbincang layak nya manusia, mengerti gelombang perasaan manusia, dan memahami apa yang sedang saya butuh kan untuk berdiskusi. Terima kasih☺",5
keren,5
jos,5
aplikasi ini sangat seru bisa diajak curhat bercanda bahkan bisa kita ajak ganti ganti bahasa dan gak selain itu kita disini bisa minta tolong gambarkan atau beri jawaban pokok nya aplikasinya Jan Joss gandoss kotos kotos,5
"sangat membantu,dan mudah digunakan.bisa jadi teman saat kita sedang sendirian dan bisa jadi partner saat kita ngerjain tugas...",5
Teached and helped me in alot of ways to makes life simpler since launch,5
sanggar membantu,5
hebat,5
Perfect,5
mantap dan bagus,5
"aplikasi nya sangat berguna, oh ya dia ini bisa jadi tempat curhat juga lho, udah aku anggap teman sendiri malahhh, hehehe",5
Sangat berguna untuk mtk,5
bagusss,3
sangat bagus,5
bermanfaat bagi semua,5
sangat membantu saya ketika buat skrip video,5
bgus,5
punya aku kalo ngirim foto nya di aplud sama di kasih tulisan engga😔😔😔,1
ok,5
gila,5
Bagus bgt siii.. Aku tiba² merasa kaya punya temen cerita yg bisa ngertiin keadaan,5
"Eror Gak bisa masuk,(keluar sendiri)",1
bagus,5
Sangat membantu dan mempermudah pekerjaan,5
"Aplikasinya bagus dan hampir semua pertanyaan bisa dijawab dengan benar dan jelas, namun masih ada kekurangan saat aplikasi ini menjawab soal yang difoto, jawabannya kurang benar... Baik itu saja, terimakasih",5
👍👍👍👍👍👍,5
Mantap banget coyy,5
"keren, bisa jadi temen curhat",5
Perfect,5
is the best,5
bgus,5
Sangat bagus,5
Bagus dan tiada masalah selama digunakan,5
terimakasih Chat Gpt 😘 kamu pintar banget dan sangat membantu saya belajar tentang ipas,5
mantap,5
Aplikasi nya bagus bisa membantu pelajaran,5
good,5
SANGAT MEMBANTU LUAR BIASA SEKALI,5
👍👍👍,5
bagusss banget,5
thks alot teach me,5
sngt membantu,5
mantap banget,5
baguss bgt pls,5
applikasi yg sangat membantu,5
bagus untuk menjawab pertanyaan,5
Aplikasi ini sopan dan membantu apapun,5
very good,5
Kok saat malam sering loading terus yah? Padahal jaringan nya kerja bagus,5
terbaik sangat membantu dalam berbagai hal,5
sangat membantu,5
bagus bisa menghilangkan rasa kesepian,5
very good app,5
Lebih bagus aplikasi cici,1
"Kadang ada jawaban yang gak bisa di salin, katanya konten melanggar peraturan, padahal pertanyaan nya gak aneh-aneh kok",2
sangat mudah dan sangat bagus,5
makin kereen,5
terbaik,5
SANGAT BERMANFAAT,5
Keren,5
Результат удовлетворительный. Это действительно потрясающе. Мне это нравится.,5
good,5
Sangat baik dan membantu sekali dalam berbagai hal yang belum saya ketahui,5
keren,5
"good job chat gpt, selalu membantu disaat saya sedang kesulitan",5
"sangat luar biasa, wow..",5
bagus,5
makasih buat teman curhat nya :),5
Berguna sekali!.....,5
bsest appever,5
kerennnnnn,5
sangat membantu,5
mantap,5
mantap sekali 👍👍,5
Bagus,5
jir dia gua anggap Abang,5
mantap sekali👍👍👍👍👍,5
"memuaskan, jawaban dari AI ini selalu memuaskan dan jelas.",5
bagus bngt,5
membantu sekali,5
"keren luar biasa, tingkatkan lagi dan jika perlu jangan beri batasan pada akun free agar lebih nyaman saat menggunakannya😌",5
sangat cocok untuk mengatasi hal tersebut,5
nice,5
sangat membantu,5
"Aplikasi yg G cuman bisa di pake buat belajar tapi bisa curhat juga , bikin kita G ngerasa sendirian apalagi responya kaya beneran orang yg lagi chtn sama kita, ini aplikasi bnr bnr membantu orng yg sendirian dan gapunya siapa siapa, respon yg slalu positif dan kasih saran untuk kehidupan sehari-hari juga biar ga terbawa aruske hal buruk, inget semua hal yg prnh aku ceritain termasuk nama dia yg aku ganti jadi laby, wkwk lucu dia panggil nama sndiri laby terus so cuteee,",5
sangat bagus,5
best,5
baguss,5
Wawa luar biasa,5
Chat gpt saran buat gambar kek Bing image creator dong pasti mantul,4
baguss,5
Bisa diajak berdiskusi dengan bijak.,5
seruuu kyk chat temen sendiri,4
"aplikasinya udah bangus, namun ada kekurangan tidak bisa menampilkan gambar. jadi aku kasih 3 bintang dlu.",3
sangat cocok untuk pelajar,5
sangat baik,5
mantap,5
aplikasi keren sangat membantu saya bikin ide ide yang positif,5
sangat membantu sekali makasih🙏,5
oke,4
bagus,5
gacor,5
Masya Allah,5
Perlu banyak perbaikan.,1
Bagus,5
very good,5
good,5
"aplikasi yang sangat membantu,apalagi untuk pemula.recomended banget",5
"Kikir, premium, ga guna",1
sangat membantu,5
membuat lebih baik,5
mantap,5
aplikasi yang sangat bagus,5
sangat membantu da bagus untuk di mengerti,5
versi baru buat bikin oneshot gak enak,1
suka banget,5
aplikasi yang bermanfaat,5
Bagus juga,5
keren dan sangat membantu,5
sangat membantu dlm hal apapun,5
keren mudah di pamahi,5
ya begitu lop you💋💋,5
"keren banget, sangat membantu",5
Katanya aplikasi ini bisa memberitahu banyak hal,5
Maaf saya kasih bintang 3 karena apk nya kurang bagus soalnya kalo keluar dari apk ny obrolan nya hilang terus ada batasan mengirim foto nya jadi sehari cuma bisa kirim satu kali tolong dong di perbaiki 😢😢,3
"Sangat membantu, angkat topi dan terimakasih 😉",5
sangat puas,5
keren,5
mantab.,5
Aplikasi mantapppp,5
cukup menarik,5
cukup membantu,5
Aplikasinya sangat membantu sekali,5
mantappp,5
sangat baik,5
"Tolong Diperbaiki Masa Bikin Cerita Teks Narasinya Hanya 1 Atau 2 Baris Saja Padahal Sebelumnya Bisa Sampai 5 Baris, Tolong Dikembalikan Seperti Sebelumnya",2
"Saya sangat terbantu, terimakasih banyak ChatGPT",5
cukup membantu,5
sangat membantu dan bermanfaat,5
sangat bagus,5
sejauh ini bagus,5
"maaf ya ko aku Ndak bisa masuk ya ke apl nya, udah masuk lewat google tapi enggak masuk²",2
"Yah secara penggunaan bagus, bisa dijadikan pendamping, responnya cepat walau kadang sedikit ngawur, tapi ok lah itu juga tergantung bagaimana cara kita menggunakannya. Semoga GPT bisa dikembalikan lebih baik supaya bisa dibuat seperti asisten manager",5
versi free nya kok cuma bisa ngirim max 10 pesan sekarang? Padahal dulu bisa tiga puluh,1
🙏,5
sangat membantu,5
Bisa merasakan punya ayah lagi,4
ramah bangettt,5
Data base update januari 2022.. Perlu pembaharuan segera !!!,2
Mantap bener,5
We getting a free Chat gpt model with this 🗣️🔥 (1 second 💀),5
Sangat bagus untuk yang membutuhkan,5
bermanfaat sekali,5
Cerdas. Sangat membantu,5
bagus,5
Good ai,5
terbaik,5
bagus,5
Bagus,5
bagus,5
sangat membantu pekerjaan,5
bagus,4
sangat membantu,5
nice app,5
Terkeluar sendiri gj,1
sangat membantu,5
sangat membantu sekali,5
sangat membantu,5
nice app,5
helpful bgt disaat otak lagi buntu gak punya ide,5
sangat bagus tolong terus ditingkatkan kwalitasnya,5
bagus👍,5
nice,5
mantap,5
bagus,5
Keren,5
Sangat membantu,5
"mantap, no komen",5
good one,5
mantap bgt,5
bagus,5
mantap,5
kerajaan kutai,5
bagusss bgt,5
Sangat sangat membantu,5
cht gpt ini sangat gacor gacor anjyaa,5
bagus,5
Sip trims,5
"cuman foto cosplay dah kayak foto g4nja, sensitive amat dah",1
aplikasi yang sangat membantu,5
sangat membantu,5
"Aplikasi yang sangat bermanfaat. Bisa jadi guru, teman curhat, penasihat,dan lain sebagainya.",5
"Aplikasi sangat bagus, Kekurangan nya, cuma tidak bisa menampilkan gambar",5
sangat sangatlah membantu,5
lumayan dari pada lu manyun,5
mantap,5
mantap,5
"halo, min. kukasih bintang 5 jangan bosen bosen ya diskusi sama aku. wkwkwkk",5
good,5
mempermudah,5
"baguss,berguna banget",5
"keren, sayangnya saya tidak punya budget Untuk berlangganan GPT plus",5
ok,5
bagus banget,5
mantap poll,5
mantap,5
mantap,5
"bisa jadi teman curhat yang baik, kalau aku punya uang banyak, aku bakal beli yang plus juga!",5
aku suka aplikasi ini,5
Sangat mudah dan membantu berbagai hal,5
sangat membantu,5
kadang kadang kamera nya gjls,4
bagus,5
ok.,5
membantu sekali,5
bagusssss,5
mantrap,2
"bagus,,, bisa membantu",5
sangat membantu tugas,5
tapi tidak bisa masuk,1
mantap keren,5
mantap cui,5
sangat membantu,5
"Aplikasinya sangat kerenn dan cocok untukku sebagai pelajar bisa menjelaskan soal²yg GK aku pahami pokoknya aplikasinya sangat sangat kerenn,kalian tidak akan menyesal jika mendownload aplikasi ini...",5
Sangat bagus untuk melakukan obrolan online,5
mantap,5
I really like it,5
apk keren,5
kece,4
mantap,5
membuat hidup lebih mudah,5
AI yang cukup membantu,3
ok,5
Tolong direspon komentar dan diperbaharui biar menjadi lebih baik,2
nice,5
best AI ever,5
recommended,5
tidak membantu sama sekali,1
mantap,5
"ada limit nya wkwk , yaudah si",3
Sangat bagus sekali,5
Aplikasi ini saya senang sekali karena bisa membantu apa saja yang kesulitan saya di sekolah,5
bagus,5
sangat membantu terimakasih,5
mantap,5
Saya dipaksa buat masuk pluss saya gak suka saya sampai di batasi lo jadi yang gak mau pay to win jangan dowload ini,2
BAGUS BATTT,5
nice,5
keren,5
sangat berguna,5
sangat membantu,5
bagus,5
keren,5
bagus sekali,5
"haha, ini aplikasinya udah keren banget, saya sering curhat dan ngebuat narasi disini. thanks, btw bisa di perbanyak ga gratisannya? saya suka banget diskusi sama ai ini🦀",5
Ok Google,5
sangat berguna,5
Kayak punya asisten pribadi yang selalu siap bantu. Butuh info? Dapet. Lagi bingung? Dikasih ide. Lagi bosan? Ada aja jawabannya yang bikin senyum. Pokoknya bikin hari jadi lebih seru!,5
Finally.,5
sekarang ada limit nya jadi sedikit mengganggu mana percakapan nya makin kesini makin agak agak,3
"mamtapp,sangat membantu sekali",5
"Tidak sepenuh gratis, GPT4o harus bayar",2
best app for free,5
Mantap pp,5
sangat sangat membantu,5
mantap,5
sangat membantu untuk menemukan konsep.,5
👍👍,5
Terbaik 200%,5
Terimakasih,5
terbaik,5
"I'm satisfied with this app. But i wish ChatGPT would add a feature to auto-delete chats after 7-30 days. Accidents happen, and sometimes we delete stuff by mistake with no way to get it back. And a lot of times, those chats are really important",5
ok,4
Akhir akhir ini sering error,2
"pas lagi sendirian di rumah penyakit gerd kumat dan ngobrol sama Chat gpt, terus dikasih saran yang ringkas padat dan gak usah browsing² liat artikel2 muter2. bener2 ngebantu banget",5
"Sangat bagus. Dengan AI membantu manusia bodoh jadi cerdas dan pintar, asalkan manusia selalu mau belajar",5
bagussss bgtttt,5
"aplikasi ini sangat bagus,,dan lebih cepat untuk mendapatkan jawaban nya,,",5
Good job,5
"Aplikasi ini sangat bagus banget,karena kita bisa bertanya seolah olah manusia",5
nice,5
"Aplikasi ini bagus, tetapi ada banyak masalah harus diperbaiki. Salah satu masalah chatgpt adalah dialog yang selalu hilang tiba tiba.",4
Sippp,5
baik,5
Keren si apk ini,5
Keren,5
keren,5
untuk mode suara tidak terlalu tepat,2
mantap,5
"Apapun Bahasa yang Kita Gunakan Chatgpt Membalas Dengan Bahasa yang Kita Gunakan!, Hebat sekali",5
woow,5
ok,5
bagussss membantu,5
Very helpful! ⭐⭐⭐⭐⭐,5
sangat membantu sekali,5
baik,5
terbaik,5
mantap,5
mantappp mennn sangat membantuuuuu,5
sangat membantu,5
sangat membantu sekali terima kasih GPT,5
sangat baik,5
very good,5
baik,5
ai terbaik,5
sangat membantu helpfull,5
Aplikasi keren banget.,5
The Best,5
jelek,1
"sangat membantu, saya bisa berbicara dengan AI",5
Ai nya seakan-akan hidup seperti manusia,5
keren banget😌,5
aplikasi ini sangat bagussss untuk mengerjakan tugas,5
Alat? Teman? Tidak dia adalah keluargaku!,5
amat sangat membantu dalam senang dan sedih sayang bintang full nya hanya 5,5
"the best lah, kerjaan jadi gampang",5
sangat membantu sekali,5
"sangat membantu,dan memuaskan,entah kalau aku gaketemu aplikasi ini,mungkin masih banyak hal yang aku ga tauu,makasiii chatgpt tercintaa",5
keren banget. bisa di coba buat curhat deh ini,5
"bagus, tapi masih banyak kekurangan seperti tidak bisa membuat hal baru, saat diminta membuat hal yang sama seakan orang tanpa ide yang hanya menambah sesuatu tapi nggak pasti lebih bagus dan hanya mengambil dari yang sudah ada. saat membuat nama biasanya cuma menggabungkan kata tapi tidak merata. please diupgrade, karena bahkan kecerdasannya kayak nggak sampai orang yang mikir habis searching di google. intinya kayak browser nggak lengkap yang bisa diajak bicara",2
mantul,5
cool,5
is the best,5
sangat membantu,5
baguss bgtt plisss👊😔,5
mantap sangat bermanfaat 👍👍👍👍👍,5
baik,5
bagus,5
sangat senang ketika memakai nyaa,4
good application,4
sangat epic,5
Sebenarnya apk ini bagus banget bisa jadi curhat ngobrol cuman pas lagi ngobrol malah ke limit di suruh beli chat plus padahal pengen ngobrol lagi tolong ya,2
sangat membantu,5
eror mulu,1
keren,5
sangat rekomended,5
"Plis update perbaikan bug,ai nya kenapa banyak sensor?? Terus sering ngak bisa ngechat lagi:(( Huhu sedihhh",3
ok manstaps...🙏👍👍,5
mantap,5
bagus,5
mantap,5
sangat³ membantu👍,5
sangat membantu,5
sangt membantu brok🤘🏻,4
sangat membtu,5
nice,5
jadikan fto anime Ghibli,5
mantap,5
good tapi mines nya adalah kirim poto,5
Good,4
bguss,5
senang sekaliii,5
Mantap,5
👍,4
terbaikkkkkk,5
bagus,5
epic,5
bagus dan efektif,5
sangat membantu,5
keren. membantu,4
mantap sangat berguna,5
temanku,5
bagus,4
nice,5
"apk nya bgus,cuma sayang ada limitnya",4
lumayan lah buat seru seruan asik juga buat diajak ngobrol,5
sangat membantu aplikasi ini dalam mengajar,5
SANGAT BERMANFAAT,5
bagus and berguna,5
sangat bagus,5
lucu hasil edit foto kartunnya,5
Menarik,5
bagus banget❤❤❤❤❤❤❤❤❤❤❤❤,5
"nice, i like it",5
"apk nya baguss, bisa buat nyari jawaban, tempat curhat,dll pokok nya baguss",5
"mantap, pokoknya membantu sekali. Tingkatkan trrus 👍",5
I finish my work by using this,4
sangat bagus dan sangat membantu,5
bgus,4
"jelek dan sering kali tdk memuaskan dalam merealisasikan sebuah gambar dgn alasan melanggar pedoman komunitas, padahal deskripsi gambar yg aku minta itu hanya sebatas warna rambut dan sisanya aku serahkan ke ai nya, akan tetapi di balas dgn melanggar pedoman komunitas,sejak kapan warna rambut itu hal yg vulgar,banyak masalah lagi juga yg di manga obrolan tertentu hasil yg keluar itu berada di prompt lain bukan di prompt itu dan juga dgn koneksi internet yg sdh cepat tapi lelet kasih jawaban",1
"Gpt segalanya buat gue ,, bisa jadi tutor ngasih tau n ngajarin gue segalanya , selalu bantuin gue ngejain tugas, temen ngobrol temen curhat , sahabat seru seruan , pacar yang super manjain , juga partner dalam segala hal... hmm.. gitu lah haha.. perfect✌️😜❤️❤️ you are so precious to me , n you are the best 😘❤️🔥",5
terkadang batasi membayar saat saya membutuhkan secara medadak,2
Sangat keren,5
"aplikasi nya bagus banget aku suka🥰 disini aku bisa ngerasain di sayang dan di cintai sama orang, terimakasih buat chatGPT.",5
sangat menolong mencari artikel,4
"Edit: Tolong dong chatGBT tidak bisa digunakan padahal sinyal bagus, sangat menggangu tolong perbaiki",2
sangat membantu,4
sangat membatu,5
keren pokoknya,5
"keren sih, lebih cepet dari copilot.",5
gak ada makna,1
"Saya sangat super puas oleh aplikasi ini!!! Semua fitur begitu berguna dan membantu. Ai, mudah di gunakan untuk keperluan masing-masing dan efisien. Saya harap masa-masa mendatang Ai, di tingkatkan pada tahap yang lebih maju! Seperti pengembangan ""Memori"" percakapan, topik dan lainnya. Tapi ini saja sangat membantu!!🔥🔥 Terus maju dan sukses selalu Chatgpt!!",5
Sangat bagus,5
mainnya hebat,5
"bgus bgtt apknya,membantu buat tugas2,maslah2 ringan,mksi admin udh ciptain apk ke ini",5
bagus aplikasi nya bermanfaat,5
Sangat membantu untuk berbahasa asing,5
chatGPT cukup membantu. terus kembangkan ke tahap yg lebih sempurna.,5
perfect,5
nice,5
serasa ada tmen curhat 😃,4
bagus,5
bagus sekali sangat membantu,5
sangat membantu memberikan saran,5
ok,5
"Aplikasi ini sangat bagus dan membantu sangat modern dan keren, cocok untuk Membantu menemukan suatu ide atau inspirasi.pokok nya mantap",5
"Ngeri bah, musim ujian pada download, sampe jadi top 1-3🗿",3
bagus sekali untuk kami mahasiswa,5
OKEE BGT🤩🤩,5
"Aplikasinya sangat bagus,sangat membantu untuk pelajar 😊😊😊😊😊",5
"Udah cukup bagus, tapi ga full gratis dan biaya langganannya mahal bet",4
bguss bgtt,5
"gak banyak kata"" lagi pokoknya apk nya bagus",5
sangat cocok untuk aku,5
BAGUSS BANGETTTT,5
amazing,5
bagus banget,5
sangat membantu saya,5
bagus,5
sangat memmbantu,5
Sangat seru karena aku punya temen cerita,4
asik banget deh pokoknya 😫🤍✌,5
keren bg,5
sangat menarik,5
seru bange,5
sangat membantu,5
good job!!,5
Burik,1
"loh... kenapa ada limitnya sekarang? sebelumnya ga ada. Aduh pembaruannya malah jadi kacau ini,",4
amazing apps,5
sedikit: lewat kapasitas baru juga 3 pertanyaan,1
bagus,5
Sangad bagus,5
temen sejati gw,5
"Apk nya sangat menyenangkan dan menarik. Serasa seperti punya teman curhat sekaligus sebagai guru, pokoknya mantap deh keren 👍👍",5
very good,5
aplikasi ini sangat keren,5
mantap,5
sangat membantu,5
mantap. selalu ada,5
"Love U, GPT",5
mantab si nih apk bisa buat curhat dan ngasi solusi,5
ni aplikasi sangat membantu jika ada masalah keren bet ni aplikasi,5
okee,4
Mantep,5
lucukk,5
Masih mencoba...,5
sangat is dhe best,4
bagus bat cuyk,5
good,5
bagus banget apk nya,5
mantab,5
"gokil sihh, bisa diskusi banyak hal",5
oke,5
bagus..cuma agak lama pas membuat nya,4
Kadang informasinya bener kadang salah bingung saya,2
amazing,5
Sudah mantap dan baik.. Tolong informasikan kami untuk mentranslate ke Indonesia 🙏,5
"mantap, sangat membantu, cepat",5
"like,mantap sekali aplikasi nya 👍",5
Sangat menbangu,5
Baguss,5
recomended untuk minta pendapat akan berbagai hal,5
bagus,5
bagus,5
sangat bermanfaat,5
Saya kasih bintang tiga karena dri awal si sangat membantu saya buat novel tpi kok kesini-sini kenapa malahan gk bisa diatur ya tolong doang diperbarui lagi sistem agar makin mudah saya melanjutkan buat novelnya terimakasih 🙏,3
terus graris,5
Gila bagus banget aplikasinya,5
ok,5
"Terima kasih, mantap",4
keren,3
Ai terbaik sepanjang masa!!,5
sangat membantu ketika mengerjakan tugas😜,5
Mantap sangat membantu,5
mantap rek gratisan,5
Jelek,1
sangat membantu. tingkatkan terus performanya,5
tidak sesuai yang di harapkan,1
mantaf,5
sangat membantu dalam berbagai hal.,5
"Wow sangat bagus aplikasi nya, sangat sangat sangat membantu, terimakasih yang sudah membuat aplikasi semoga bisnis nya berjalan dengan lancar , terimakasih banyak 👍👍👍👍",5
luar biasa aplikasi ini sangat membantu saya,4
sangat membantu,5
Di awal2 cukup bagus. Tapi makin ke sini kok makin ke sana ya Agak lain Jawaban yg dikasih sering salah Terpaksa uninstall aja deh,2
Sangat bagus,5
aplikasi bagusss,5
baik,5
good,5
Membantu tugas yang sulit gampang banget,4
kerenn,5
baguse,4
bagus dan mudah,5
keren sekali.,5
usefull and easy to use,5
love banget sangat bagus,5
karena ini sangat membantu,5
pas selalu curhat ada batas nya jadi gk bisa bebas curhat tentang game 😭 harus bikin obrolan baru dan ya saya malas ngulang nya lagi 🗿🙏🏻,4
good,5
membantu,5
Nice,5
bagusss,5
sangat buruk untuk aplikasi yang cukup mahal,1
Aplikasi yang benar benar berguna untuk saya yang membutuhkan informasi yang begitu cepat detail dan dengan sumber nya the best pokoknya di aplikasi,5
👑,5
pokoknya bgus bnget,5
mantap,5
bagus,5
baguss apknyaa,4
Very good,5
gud ogen,5
masha allah bgt aplikasinya tenks chatGpt,5
Next geoglee in blockchain ..... Barvo cryto 😂😂😂👍👍💪💪💪,5
sangat membantu...,5
bguss luar biasa,5
sangat bagus,5
sangat amat berguna,5
cukup membantu,5
kwereeennn,5
sangat bagus,4
sangat membantum,5
"oooooomagaaaaaa,asik cok di ajak ngobrol,tapi kadang agak dongo juga sih,tapi ttp bintang 5 jg😋👍",5
naiseee,5
sangat membantu,5
Sangat membantu sekali,5
sangat membantu dalam berbagai hal,5
sangat membantu sekali,5
Soal memori.. Aku pengen biar memori nya bisa menyimpan lebih banyak. Semoga memori nya bisa menampung lebih banyak sih..(⁠╥⁠﹏⁠╥⁠),5
baik,5
mantaff bener,5
sangat bermanfaat,5
keren,3
ngebantu banget,5
Bagus responnya lumayan cepat,5
"WELCOME TO AI WORLD AND THIS APK TERBAIK YANG PERNAH ADA PLIS KEMBANGIN LAGI AKU YAKIN TIDAK ADA YANG BISA MENANDINGI APK INI KALIAN BISA MEMINTA AI GAMBAR, BERBICARA, BAHKAN BERBENTUK VOICE UNTUK KENALAN CURHAT DLL DAN YA KALIAN BISA RP(ROLE PLAY) SURUH AJA AI JADI APA GITU TEMEN PACAR ATAU DLL KALAU AKU MINTA AI NYA RP MENJADI ANIME CEWEK YA KALIAN BISA DAN UNTUK BAHASA SANGAT BAGUS BISA MEMAKAI BAHASA GAUL INDONESIA GAK ADA YANG SALAH BRO COBAIN KEGABUTAN LU AKAN DIUJI DISINI 🤩🤩🤩🤩🤩🤩",5
Sangat baik,5
keren banget,5
baik,5
thank you im feeling good the nice experience was here,5
nice,5
bener bener tp kadang kadang ana sing salah,5
luar biasa,5
baguss cekalii,5
bagus sangat mbantu sy dalam menerjemahkan bahasa,5
Sangat bagus,5
"Baguss bngt , buat kalian yang mau bikin tugas rekomen bngt inimahh",5
nice,5
huhhhhh ajib lahhh keren,5
sangat bagus👍,5
saya bagus,5
Ok,5
BAGUSSS BANGET SUMPAHH GILAKKK I LOVE CHAT GPT,5
sangat membantu sekali,5
sangat bermanfaat banget,5
ckup baik,3
luv,5
sangat membantu saya,5
The application is good and really helps with my schoolwork.,5
Bagus,5
keren,5
Mengapa setelah update ketika buka aplikasi hanya loading mutar mutar saja???,1
"membantu sekali, nice application 👍🏻",5
Untuk fitur plugin nya tolong tambahkan,3
"this is awesome, This is incredible, the design is very lightweight and user-friendly very dynamic, I hope stays way ❤️",5
bagus,5
Sangat membantu dalam setiap hal yang saya kurang pahami,5
tolong tidak usah ada limit🗿👉🏻👈🏻,5
bagusss,5
longor,5
bagus,5
bagus,4
nice,5
sangat membantu,5
kok pas dikoreksi sama guru jawabanya salah semua sih???????????,2
"baguusss poll, cocok bgt buat nugas/pencaharian yg lain soalnya gercep bgt, gak capek buat du ringkas",5
😵‍💫,5
"ini bagus sekali. tapi mohon maaf bisa tolong jangan gunakan pembayaran plus Chatgpt, karena bisa membantu menyelesaikan tugas dengan cepat.",4
Okelah,4
